# path	owner	reference_count	api_families	compile_gate	behavior_gate	disposition
zkwebui/WEB-INF/src/org/adempiere/webui/component/ADButtonTabList.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/ADTabListModel.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/ADTreeFavoriteOnDropListener.java	zkwebui	11	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/ADTreeOnDropListener.java	zkwebui	9	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Accordion.java	zkwebui	10	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/AutoComplete.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/AutoCompleter.java	zkwebui	4	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Bandbox.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Borderlayout.java	zkwebui	7	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Button.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/CWindowToolbar.java	zkwebui	6	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Checkbox.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Col.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Column.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Columns.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/ComboItem.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Combobox.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/CompositeADTab.java	zkwebui	3	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/ConfirmPanel.java	zkwebui	5	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Datebox.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/DatetimeBox.java	zkwebui	2	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/DesktopTabpanel.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/Div.java	zkwebui	1	ce-core	5d	5g	migrate-source
zkwebui/WEB-INF/src/org/adempiere/webui/component/DrillCommand.java	zkwebui	7	ce-core	5d	5g	migrate-source
